x,y,z
27.476002,5.9480004,198.716
27.424002,5.788,199.018
42.030003,5.552,69.998
42.27,5.052,70.486
42.164,4.9900002,71.15
41.962,4.6720004,73.268005
42.208,4.664,72.064
42.824,4.02,71.508
35.258003,21.218,116.30801
34.850002,20.726002,116.19
35.356003,20.964,116.43001
35.964,21.848001,116.38601
35.812,21.718,116.406006
36.304,21.796001,116.662
10.084001,28.852001,63.868004
10.3,28.698002,64.282005
9.948001,29.068,63.850002
10.222,29.160002,64.41
9.758,29.792002,64.01601
10.474001,28.708002,64.606
23.038002,53.092003,25.890001
22.560001,52.832,25.406002
22.698002,53.016003,26.108002
23.942001,52.988003,24.968
23.748001,53.078003,25.234001
24.466002,53.004,24.858002
25.286001,6.0260005,209.62401
24.676,5.7660003,209.26001
25.194,5.8580003,209.37001
26.314001,6.5600004,210.12201
25.946001,6.3820004,210.00002
26.174002,6.182,209.70001
28.160002,22.656,72.022
28.452002,23.294,71.666
28.652,23.004002,72.608
28.468,21.928001,74.07201
28.484001,22.188002,73.622
28.600002,21.926,74.416
31.492,38.308002,16.298
31.684002,38.234,16.546001
31.128002,38.424004,16.604
28.832,38.696003,16.83
29.324001,38.696003,16.636002
29.130001,38.734,16.878
61.672005,20.386002,39.922
61.572002,20.278002,40.666
61.634003,19.810001,39.614002
61.254,18.972,44.410004
61.194004,18.534,45.160004
61.282,18.874,43.940002
11.292001,28.182001,64.00201
11.648001,28.316002,64.034004
11.742001,27.87,64.366005
11.3,27.658,64.76
11.14,27.796001,64.512
11.39,27.730001,64.564
9.196,22.35,98.858
9.128,22.338001,98.962006
8.956,22.544,98.94
9.674001,21.366001,98.55601
9.304001,21.77,98.79401
9.662001,21.646002,98.73
64.244,26.122002,62.118004
64.102005,25.960001,62.654003
64.26601,25.974,62.044003
64.646,27.416,58.972004
64.840004,27.714,57.860004
64.68201,27.788002,57.982002
51.274002,51.116,115.464005
51.266003,50.800003,115.114006
50.716003,51.368004,115.268005
48.888,53.796,116.66601
49.536003,53.224003,116.594
49.350002,53.286003,116.244
39.306004,33.524002,20.194
39.408,33.558002,19.95
40.614002,32.774002,20.460001
44.178,29.944002,22.62
43.914,30.302002,22.132002
45.066,29.406002,22.692001
33.578003,17.630001,62.430004
33.634003,17.768002,61.548004
33.738003,17.418001,62.744003
33.74,18.258001,58.770004
33.844,18.27,58.124004
33.944,18.084002,58.636
26.580002,33.378002,45.27
26.95,33.404003,45.404003
27.084002,33.148003,46.318
29.242,32.648003,48.408
29.528002,32.456,48.958004
29.164001,32.446003,48.966003
27.566002,23.912,211.03001
27.432001,24.114,210.68001
27.222002,24.312,210.84001
27.288002,24.766,209.86801
27.256,25.072,209.41402
26.880001,25.098001,209.602
63.348003,26.144001,64.598
63.226,25.95,65.236
63.576004,26.086,64.142006
62.940002,25.838001,66.276
62.772003,25.978,66.37
62.768,25.854002,66.734
51.554,51.370003,116.48
51.484,51.926003,117.04001
51.660004,51.186,116.438
51.472004,51.162003,115.994
51.500004,50.992,115.66601
51.11,51.434002,115.69
35.476,23.176,126.04001
34.876003,23.014002,125.10801
35.842003,23.334002,124.938
38.862003,24.534,125.57201
38.826,24.52,124.91601
39.348003,24.78,125.13801
53.104004,23.508001,112.600006
53.126003,23.402,112.836006
52.934002,22.880001,112.466
52.688004,22.172,112.51
52.824,22.482,113.004005
52.562004,21.848001,112.852005
60.590004,26.750002,73.658005
60.33,26.198002,74.48
60.498,26.414001,73.646
60.704002,27.396002,73.318
60.588,27.624,73.804
60.646004,27.27,73.68
28.042002,23.678001,210.64801
27.996002,24.028002,210.42001
27.632002,24.082,210.464
29.468002,21.768002,211.33601
29.348001,22.248001,211.11601
29.170002,22.156,211.17401
16.404001,11.566001,211.95201
15.940001,11.466001,211.73401
16.062,11.074,211.768
17.364,10.464001,212.376
16.816,10.626,212.14401
17.104,10.320001,212.09401
37.88,24.084002,125.72401
37.906002,24.092001,126.632
37.408,23.880001,126.18001
37.598003,24.054,128.884
37.706,24.054,128.264
38.016003,24.232,128.86601
51.800003,50.644,115.924
51.856003,50.464,115.93201
51.904003,50.356003,115.594
52.072002,50.034004,115.686005
52.448,50.004,115.62401
52.294003,50.052002,115.34801
67.878006,34.08,16.766
67.670006,33.786003,16.748001
67.938,33.968002,16.488
69.146,35.226,16.944
68.802,34.97,16.894001
68.82201,34.938004,16.694
20.51,24.472002,8.666
20.54,24.674002,8.662001
20.506,24.556002,8.398001
19.856,25.118002,8.142
20.01,25.136002,8.008
20.248001,24.988,8.236
28.320002,25.090002,209.33002
27.938002,25.334002,209.14401
28.064001,24.844002,209.39601
29.910002,24.106,209.382
30.152002,23.898,209.31401
30.260002,24.156002,209.1
67.75201,36.458,52.61
68.014,36.366,51.322002
67.814,36.508003,51.682003
66.452,36.784,52.398003
66.026,36.828003,52.718002
66.368004,36.814003,52.79
32.334,21.894001,171.89001
30.186,21.042002,171.356
32.384003,21.818,171.65001
30.660002,22.322,173.546
30.254002,22.256,173.64201
30.162,21.792002,172.904
49.916004,39.812,167.69801
49.926003,39.77,168.40201
49.960003,39.18,168.28201
49.908,40.098003,168.56601
49.888,40.234,168.05
49.828003,40.918003,168.302
20.146002,27.986002,142.076
